label,start,end
A#,0.0,2.857142857142857
F,2.857142857142857,5.714285714285714
Gm,5.714285714285714,8.571428571428571
Dm,8.571428571428571,11.428571428571429
D#,11.428571428571429,14.285714285714286
A#,14.285714285714286,17.142857142857142
D#,17.142857142857142,20.0
F,20.0,22.857142857142858
A#,22.857142857142858,25.714285714285715
F,25.714285714285715,28.571428571428573
Gm,28.571428571428573,31.42857142857143
Dsus2,31.42857142857143,34.285714285714285
D#,34.285714285714285,37.142857142857146
A#,37.142857142857146,40.0
D#,40.0,42.85714285714286
F,42.85714285714286,45.70760000000001
