label,start,end
C,0.0,2.4489795918367347
G,2.4489795918367347,4.8979591836734695
Am7,4.8979591836734695,7.346938775510204
Em,7.346938775510204,9.795918367346939
F,9.795918367346939,12.244897959183675
C,12.244897959183675,14.693877551020408
F,14.693877551020408,17.142857142857142
G,17.142857142857142,19.591836734693878
C,19.591836734693878,22.040816326530614
G,22.040816326530614,24.48979591836735
Am,24.48979591836735,26.93877551020408
Em,26.93877551020408,29.387755102040817
F,29.387755102040817,31.836734693877553
C,31.836734693877553,34.285714285714285
F,34.285714285714285,36.734693877551024
G,36.734693877551024,39.17879999999997
