label,start,end
D#M7,0.0,1.7518248175182483
A#7,1.7518248175182483,3.5036496350364965
Cm7,3.5036496350364965,5.255474452554745
Gm7,5.255474452554745,7.007299270072993
G#M7,7.007299270072993,8.75912408759124
D#M7,8.75912408759124,10.51094890510949
G#M7,10.51094890510949,12.262773722627738
A#7,12.262773722627738,14.014598540145986
D#M7,14.014598540145986,15.766423357664234
A#7,15.766423357664234,17.51824817518248
Cm7,17.51824817518248,19.27007299270073
Gm7,19.27007299270073,21.02189781021898
G#M7,21.02189781021898,22.77372262773723
D#M7,22.77372262773723,24.525547445255476
G#M7,24.525547445255476,26.277372262773724
A#7,26.277372262773724,28.023199999999974
