label,start,end
G,0.0,2.0168067226890756
D,2.0168067226890756,4.033613445378151
Em,4.033613445378151,6.050420168067227
Bm,6.050420168067227,8.067226890756302
C,8.067226890756302,10.084033613445378
G,10.084033613445378,12.100840336134453
C,12.100840336134453,14.117647058823529
D,14.117647058823529,16.134453781512605
G,16.134453781512605,18.15126050420168
D,18.15126050420168,20.168067226890756
Em,20.168067226890756,22.18487394957983
Bm,22.18487394957983,24.201680672268907
C,24.201680672268907,26.218487394957982
G,26.218487394957982,28.235294117647058
C,28.235294117647058,30.252100840336134
D,30.252100840336134,32.26319999999998
