label,start,end
A,0.0,2.4489795918367347
E,2.4489795918367347,4.8979591836734695
F#m,4.8979591836734695,7.346938775510204
C#m,7.346938775510204,9.795918367346939
D,9.795918367346939,12.244897959183675
A,12.244897959183675,14.693877551020408
D,14.693877551020408,17.142857142857142
E,17.142857142857142,19.591836734693878
A,19.591836734693878,22.040816326530614
E,22.040816326530614,24.48979591836735
F#m,24.48979591836735,26.93877551020408
C#m,26.93877551020408,29.387755102040817
D,29.387755102040817,31.836734693877553
A,31.836734693877553,34.285714285714285
D,34.285714285714285,36.734693877551024
E,36.734693877551024,39.17879999999991
