label,start,end
A#m,0.0,2.823529411764706
D#9,2.823529411764706,5.647058823529412
G#,5.647058823529412,8.470588235294118
C#6,8.470588235294118,11.294117647058824
Gm7b5,11.294117647058824,14.11764705882353
C11,14.11764705882353,16.941176470588236
F,16.941176470588236,22.58823529411765
A#m,22.58823529411765,25.411764705882355
D#9,25.411764705882355,28.23529411764706
G#,28.23529411764706,31.058823529411768
C#6,31.058823529411768,33.88235294117647
Gm7b5,33.88235294117647,36.70588235294118
C9,36.70588235294118,39.529411764705884
F,39.529411764705884,45.173199999999994
