label,start,end
C#M7,0.0,2.142857142857143
G#M7,2.142857142857143,4.285714285714286
A#m7,4.285714285714286,6.428571428571429
Fm7,6.428571428571429,8.571428571428571
F#M7,8.571428571428571,10.714285714285714
C#M7,10.714285714285714,12.857142857142858
F#M7,12.857142857142858,15.0
G#7,15.0,17.142857142857142
C#M7,17.142857142857142,19.285714285714285
G#M7,19.285714285714285,21.428571428571427
A#m7,21.428571428571427,23.57142857142857
Fm7,23.57142857142857,25.714285714285715
F#M7,25.714285714285715,27.857142857142858
C#M7,27.857142857142858,30.0
F#M7,30.0,32.14285714285714
G#7,32.14285714285714,34.284400000000005
